,Cluster
Belgium,C0
Bulgaria,C0
Czechia,C0
Denmark,C0
Germany,C1
Estonia,C0
Ireland,C0
Greece,C0
Spain,C1
France,C1
Croatia,C0
Italy,C1
Cyprus,C0
Latvia,C0
Lithuania,C0
Luxembourg,C0
Hungary,C0
Malta,C0
Netherlands,C0
Austria,C0
Poland,C0
Portugal,C0
Romania,C0
Slovenia,C0
Slovakia,C0
Finland,C0
Sweden,C0
Iceland,C0
Norway,C0
Serbia,C0
Türkiye,C1
