,F1
BabiesBornWithDiseases,-0.4926015015880408
Gynaecologist,-0.9580896883781408
FertilityRate,0.022370355422774182
BirthsWithLowerEd,-0.3338001655409167
BirthsLower2kg,-0.8991504308602241
BirthsBeforeTerm,-0.1529300464529779
AtRiskOfPoverty,-0.9370551623477602
Smoking,-0.07680370252941232
AlcoholConsumption,-0.19447168677135424
NoBeds,-0.9115937155549232
GreenhouseEmission,0.06190285635267934
