,Cluster
Belgium,C2
Bulgaria,C2
Czechia,C2
Denmark,C2
Germany,C1
Estonia,C2
Ireland,C2
Greece,C2
Spain,C1
France,C1
Croatia,C2
Italy,C1
Cyprus,C2
Latvia,C2
Lithuania,C2
Luxembourg,C2
Hungary,C2
Malta,C2
Netherlands,C2
Austria,C2
Poland,C2
Portugal,C2
Romania,C2
Slovenia,C2
Slovakia,C2
Finland,C2
Sweden,C2
Iceland,C2
Norway,C2
Serbia,C2
Türkiye,C0
