,Cluster
Belgium,C3
Bulgaria,C3
Czechia,C3
Denmark,C3
Germany,C2
Estonia,C3
Ireland,C3
Greece,C3
Spain,C2
France,C2
Croatia,C3
Italy,C2
Cyprus,C3
Latvia,C3
Lithuania,C3
Luxembourg,C3
Hungary,C3
Malta,C3
Netherlands,C3
Austria,C0
Poland,C3
Portugal,C3
Romania,C3
Slovenia,C3
Slovakia,C3
Finland,C3
Sweden,C3
Iceland,C3
Norway,C3
Serbia,C3
Türkiye,C1
