,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,-0.15467068343158738,-0.8279788724656459,-0.185887810798432,-0.1958485469823913,1.0504542008244415,1.6679226369892368,-0.36984495350893043,-1.2028155180589126,-0.8861623168984161,-0.737612131551069,-0.10182157309202738
Bulgaria,-0.28897621393354717,-0.4086238299485585,0.611601417118378,0.49910652586687604,-0.18228696704409147,-0.20459947098313339,-1.2040523615597767,-1.3381152918407202,-0.5278632358422408,0.7217386585277137,-1.7536249908121688
Czechia,-0.321673079358562,0.31890473912300615,-0.5209049031902404,0.9569889422811774,0.134463683876507,0.3299400701890637,-0.15374323348839092,-1.0743396874309679,-0.6140278179359052,1.788934727681415,1.6080901644121217
Denmark,-0.38489120034880636,-0.306848571347567,-0.8955092808326489,-0.005760457924288318,0.10337280568315836,1.8522930651205864,0.3452351001785445,-1.0164431688374689,-1.04777707472774,-0.988728316055862,-0.4234306177874414
Germany,3.4889457660650423,-0.725522046824914,-1.3392898280789982,0.6074866460677681,-0.009383805474854208,-1.2649283384982692,1.3561970972099715,0.5649756376670014,-2.6128811676123935,0.6009472512259383,-0.3500193232526329
Estonia,-0.6840560571717673,0.5155586506955927,-0.1357098206214373,0.39175940151217403,-0.2882898759962701,-0.7763163217807819,-0.10948923219208263,-0.3848432646954754,-0.5223069330533683,-0.4093479022931396,-0.7905284619816839
Ireland,-0.6647010214185176,0.6081513082621347,-0.5884779876847426,0.47167486741029113,0.18983712546053047,-0.27677990526183877,-0.12265643559910516,-0.11591582486687531,0.30682275059324676,0.27610998671365233,0.48972760966289036
Greece,-0.214507123118861,-0.5395249895672527,0.9328651834501622,-0.014380777392581088,0.11285027521826929,-1.3056101036904326,-1.0667713512694492,-0.9429579661966268,-0.3336188561333761,1.166990990292353,-0.07393815535343966
Spain,0.9947297480416267,-1.3450099383842602,0.7591821980328067,-1.2212347015033633,0.7200792770970285,-0.5730012268532944,-0.22121911128400537,-0.20547521798604043,2.241039489879997,-1.3311770631932955,-1.991165927437592
France,2.0306678400867475,-0.5935693074939816,-0.2097191518708244,2.603816483364581,-0.3440479342940285,0.7328907255115905,-0.9206062380902511,0.3931421054447147,2.4027957129534707,-1.7126633664419608,1.809686535611554
Croatia,-0.10736855837788067,-1.2705529012148442,0.9956275184522978,1.467409642659181,0.13405114779371657,0.16706101356256967,-1.6308049393681507,2.219086082275748,-0.4064564543667481,1.091198860241333,-1.0815739271020903
Italy,1.3815962563225515,-0.9899181831435788,-0.4319686204110607,-2.1378842790793637,0.54999481151057,-0.46366053169634225,0.9175026958020582,-1.2476683335931384,1.8086157196357324,2.2209383266976004,0.3051952726879193
Cyprus,-0.5769490934717713,-0.08241325625830606,0.2776006392070847,-0.07310531190408484,0.16223982694295516,-0.7161647189890035,-0.1274563325325031,2.1093127335842365,0.04326733311983305,0.14276292485366227,0.12155559340345154
Latvia,-0.7216921027166109,0.43881905940299504,0.4109527340067562,0.19674046980414975,-0.7775577145725461,-0.23546246900795542,0.7104734828902249,-0.11421985982421053,0.48294636617963727,0.6773605807141585,0.7113872140972025
